,30IN_CGE_NPY,30IN_CGE_VIP,30IN_MGE-Pvalb,30IN_MGE-SST,30Pyrlayer2a/b,30Pyrlayer3,30SL1,30SL2,30Vglut2,90IN_CGE_NPY,90IN_CGE_VIP,90IN_MGE-Pvalb,90IN_MGE-SST,90Pyrlayer2a/b,90Pyrlayer3,90SL1,90SL2,90Vglut2
12,Tns3,Proser2,Cfap46,Dbndd1,Fxyd6,Nxpe2,Jup,Cdk5r2,Proser2,Nmur2,Spry3,Cnp,Spry3,Pdcd11,Arhgap6,Mov10l1,Dclre1b,Chst1
13,Ebf2,Atp5md,A2ml1,Jup,Nefl,Eef2,Trhr,Atp5md,Trpc3,Sult5a1,Atp5md,Pdcd11,Jup,Dbndd1,Arsa,Ddr2,Onecut2,Atp5md
14,Cnih2,Slc11a1,Jup,Fos,Vwc2,Ccnd1,Cpne2,Slc11a1,Syn3,Spry3,Ptpro,Nxpe2,Arhgap6,P3h4,Apoa1,Apoa1,Cct7,Tmem268
15,Fcgrt,Pitpnc1,Vwc2,Slc11a1,Unc13c,Zeb2os,Tcerg1l,Fxyd6,Ccnd1,Nxpe2,Trpc3,Spry3,Csnk2b,Tcerg1l,Hepacam,Bank1,Jup,Nxpe2
16,Lama4,Plekhh2,Pzp,Flvcr2,Tbxas1,Paqr4,Ccnd1,Ndufb2,Nfix,Tnfsf13,Qrfpr,Arsa,Sphk1,Pcdhb9,Qrfpr,Pdcd11,Glra1,Ret
17,Tmtc1,Plcd4,P3h4,Cpne2,Rassf8,Slc41a3,Mc1r,Mpzl2,Cdk5r2,Apoa1,Apoa1,Dbndd1,Ccdc175,Apoa1,Atp5md,Tmem268,Pdcd11,Jup
18,Csrnp1,Fxyd6,Smyd1,Ebf3,Ndufb2,Tspan9,Akna,Ltbp3,Ebf3,Trpc3,Ndufb2,Eps8,Mapk4,Rhog,Mov10l1,Bbox1,Nxpe2,Whrn
19,Ptpre,Pecam1,Rps28,Itih5,Neto1,Abca8a,Ptpre,Nfkb2,Mc1r,Qrfpr,Abcb1a,Dcc,Slc31a2,Ndufb1-ps,Hapln1,P3h4,Hnrnpab,Apoa1
20,Syndig1l,Eef2,Apba3,Pdcd11,Ccnd1,Plcd4,Ddr2,Irf8,Pcdhga3,Rhog,Rerg,Rhbdl3,Cygb,Trpc3,Tspan9,Cdk5r2,Cdkn1a,Zfp422
21,Slc11a1,Pde11a,Proser2,Tspan9,Tmtc1,Proser2,Myo1f,Fbln2,Ptpre,Hapln1,Tbxas1,Rerg,Arsa,Mapk4,Mapk4,Spry3,Gna15,AC149090.1
22,Nxpe2,Ebf3,Nxpe2,Nkx6-2,Slc41a3,Plekhh2,Cfap46,Zfp994,Jup,Atp5md,Tmem268,Qrfpr,Apba3,Trpv3,Bnc2,Rgs4,Dock5,Dbndd1
23,Gna15,Jup,Tns3,Proser2,Tspan9,Cdk5r2,Onecut2,Sec1,Pet100,Psmb3,Rps27a,Tspan9,Arpc4,Cdk5r2,Trhr,Ppp3r2,Apoa1,Tor2a
24,Ube2cbp,Mrpl35,Apoa1,Wsb1,Cpt1a,Mro,Aspa,Nefl,Dock5,Mrpl10,Anapc15,Adap2,Efhd2,Hapln1,Nfkb2,Msrb1,Cox7a1,Fam78a
25,Fxyd6,Psmb3,Gatd1,Mapk4,A2ml1,Ubqln2,Ebf3,Bcam,Cntnap5a,Flna,Arhgap6,Sult5a1,Mpp6,Irs2,A2ml1,Dbndd1,Ddr2,Adamtsl5
26,Itih5,Rcsd1,Nqo2,Tcerg1l,Pdcd11,Bnip3,Eef2,Tcerg1l,Lrrc51,Tmem256,Ptpre,Cdk5r2,Adamtsl1,Chst2,Nhs,Anp32e,Fxyd1,Mc1r
27,Flvcr2,Tns3,Tox2,Nif3l1,Tafa4,Tmem268,Nqo2,Ccdc175,Axl,Arsa,Tcerg1l,C79798,Bnc2,Cnih3,Rhog,Tcerg1l,Nostrin,Tns3
28,Chd7,Rgs5,Tmem256,Epas1,Fbln2,Golim4,Pet100,Ndufb8,Htr7,Pllp,Rhog,Odc1,Cdk5r2,Mobp,Cplx3,Slc11a1,Fbln2,Gamt
29,Gpr157,Ccnd1,Maml2,Ifitm2,Nfkb2,Mrpl10,Cldnd1,Epas1,Fxyd6,Bgn,Tspan9,Thsd4,Pxdc1,Arsa,Glra1,Plxdc2,Irs2,Bc1
30,Plekha4,Tmtc1,Vamp5,Csnk2b,Fcer2a,Pzp,Mcam,Fosb,Pdzrn3,Cdk5r2,Tmem256,Hapln1,March3,Atp5md,Piezo2,Akna,Nfam1,Ano1
31,Rgs5,Ush2a,Hs6st3,Plekhh2,Ndufa3,Mapk4,Epha3,Fcer2a,Pde11a,Arhgap6,Zfp382,Pxdc1,Tchh,Dennd1b,Vwa5a,Eps8,Bmper,Eef2kmt
32,Tcerg1l,Hspa1l,Rgmb,Slc3a1,Tmtc2,Tbxas1,Msrb1,Plekhh2,Unc13d,Acot11,Acot11,Dclre1b,Pard3,Slc39a1,Plcd4,Il1rapl2,Zfp382,Epha6
33,Cfap46,Usp6nl,Epas1,Cdk5r2,Pawr,Crim1,Atp5md,Nhs,Atp5md,Tgfb2,Prelp,A2ml1,Qrfpr,Dstn,Ddr2,C79798,Catip,Atp11c
34,Cct2,Cfap46,Clmn,Pwwp2b,Pdzd7,Pdcd11,Mt1,Trhr,Itih5,Cox7c,Abcd2,Nif3l1,Ebf3,Ptpre,Macrod2os1,AA388235,Nhs,Chst2
35,Ppp1r1b,Mrpl10,Tmtc1,Nek8,Ppp3r2,Kdelr2,Ttr,Tspan2,Ccna2,Nfkb2,Pcdhga3,Vav2,Dbndd1,Ndufa3,Adamtsl1,Got2,Col23a1,Spry3
36,Ndufa3,Fyb,Tnfsf12,Rflnb,Gsap,Eci2,Fxyd6,Ndufb4,Tmem9,Gnai2,Hapln1,Sod1,Atp11c,Qrfpr,Ubl5,Gna15,Adi1,Epha3
37,Nek8,Bcam,Mafb,Usp6nl,Cpne2,Pcsk6,Tns3,Nqo2,A2ml1,Cideb,Ndufa3,Pawr,Unc13d,Taco1os,Cenpf,Npnt,Hapln1,Tfap4
38,Wsb1,Ptpre,S100a3,Bmpr1b,Plekhh2,Tnfsf13,Usp6nl,Ptpre,Hectd2os,Tor2a,Nmur2,Prlr,Tor2a,Pantr1,Onecut2,S100a2,Ppp3r2,Pcdhb9
39,Ush2a,Cldn5,Pkp3,Pacs2,Mrpl50,Tspan15,Mrpl35,Psmb3,Tmem268,Rflnb,Ccnd1,Espn,Dock6,Prlr,Trpc3,Macrod2os1,Xirp2,Cebpzos
